type,char,group,def,pinyin
嚴式,凵,湘,打～：播種時挖小而淺的坑,婁底=k ̕uẽ˦˨
嚴式,乜,"官,閩,平,粵",①指示比較遠的人或事物，相當於北京話的“那”；②誰：～人；③為什麼，幹嗎：～你噉樣講呀？④什麼：佢～都唔知道,牟平=ȵiə˥˧;銀川=nie˥˧;福州=miɛʔ˨˦;雷州=mi˥;興安=miɛ˥;廣州=mɐt˥;東莞=mɐt˦
嚴式,乜,粵,2 歪斜：～嘴,廣州=mɛ˧˥
嚴式,亍,客,～腳：步履蹣跚,梅縣=ʦ̕ok˩
嚴式,㐄,湘,～過去：跨過去,長沙=ka˩;湘潭=kɒ˨˩;益阳=ka˩
嚴式,夨,"官,平",向一邊傾斜，歪斜：～頭｜身～～,南通=ʦɛʔ˦;临桂=ʧo˥
嚴式,乇,閩,對象，東西,福州=noʔ˨˦
嚴式,广,贛,通常指有落差，下面形成小水潭的小水溝,黎川=ŋam˦
嚴式,𫠡,吳,短的圍裙,溫州=gø˨˩˨
嚴式,,吳,姓。即“戴”姓,金華=tɛ˥
嚴式,冇,"官,湘,粵,吳,客,平,徽",1 否定動作或狀態已經發生，表示否定，相當於“別”“没有”,武漢=mau˧;長沙=mau˩;婁底=mɤ˩;新化=mɔ˧;廣州=mou˨˧;東莞=mɔu˩˧;溫州=nau˧˥;于都=mɔ˦;南寧=me˨˦;富川=mo˦;績溪=mɤ˧˥
嚴式,冇,閩,2 ①不堅實；内裏空虚或不飽满；②随便,廈門=p̕ã˨˩;福州=p ̕ɑŋ˨˩˨;海口=fa˧˥;建甌=p̕ɔŋ˧;雷州=p ̕a˨˩
嚴式,尐,"官,吳",一點兒，形容東西少：～～兒,南通=niɑʔ˥;寧波=ʨieʔ˥
嚴式,仈,閩,知道，曉得,福州=paiʔ˨˦;雷州=pak˥
嚴式,卬,吳,“我伉你”的合音,溫州=ŋuɔ˨˦
嚴式,𰄚,徽,砍去；斷取,績溪=tie˧˩
嚴式,𠚥,吳,用於稻穗等的計數,杭州=tiɔ˧
嚴式,㧅,官,①用筷子夾；②用鍬鍁鏟,銀川=tɔ˦
嚴式,𫇥,客,番～：南瓜,于都=•pu
嚴式,刌,吳,東西不牢或已朽，容易斷成細碎的樣子：草繩爛得～～斷哉,無錫=ʦ ̕əŋ˥˧
嚴式,𠕇,閩,硬實,建甌=ku˨˩
嚴式,𠕆,客,①癟：～穀；②凹下去的地方：這股茶瓶打了介～,于都=iɛʔ˨
嚴式,曱,粵,甴～：蟑螂,廣州=ʦat˨
嚴式,卟,官,用於散碎物的集合體，相當於小堆、小團，後面不帶名詞,柳州=poʔ˥
嚴式,𠮨,官,哪裏，是“哪塏”的合音,柳州=næ
嚴式,甴,粵,～曱：蟑螂,廣州=kat˨
嚴式,,吳,①稻麥等作物兩行之間的空間；②時間上的距離,溫州=guɔ˨˦
嚴式,𠆩,湘,逗～子：故意開玩笑,長沙=fan˥;湘潭=fan˥
嚴式,㚢,贛,女孩,南城=ȵie˦˩;抚州=ȵie˦
嚴式,尒,客,①形容小：～鷄子｜～魚子；②形容程度深：～軟,于都=pi˦
嚴式,冚,"閩,粵",遮擋物，嚴密,雷州=k ̕em˨˩;廣州=hɐm˨
